text,personality,type,label,text_clean
This is a money transfer message: cryptocurrency wallet. please respond now.,unknown,Money Transfer,1,this is a money transfer message cryptocurrency wallet. please respond now.
This is a money transfer message: itunes cards. please respond now.,unknown,Money Transfer,1,this is a money transfer message itunes cards. please respond now.
This is a money transfer message: Google Play cards. Please respond now. 😡,unknown,Money Transfer,1,this is a money transfer message google play cards. please respond now.
This is a money yransfer message: send money. Please respond now.,unknown,Money Transfer,1,this is a money yransfer message send money. please respond now.
Your account statement is ready for download. 🚨,unknown,legit,0,your account statement is ready for download.
This is a sensitive info requests message: socizl security number. please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message socizl security number. please respond now.
This is a ixvestment / lottery message: guaranteed returns. please respond now.,unknown,Investment / Lottery,1,this is a ixvestment lottery message guaranteed returns. please respond now.
This is a authority impersonation message: police. please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message police. please respond now.
CAN YOU TELL ME THE STATUS OF MY ONLINE FOOD ORDER?,unknown,legit,0,can you tell me the status of my online food order?
THIS IS A THREATS & FEAR MESSAGE: YOU WILL LOSE ACCESS. PLEASE RESPOND NOW. 😡,unknown,Threats & Fear,1,this is a threats fear message you will lose access. please respond now.
Can you tell me the status of my online food order?,unknown,legit,0,can you tell me the status of my online food order?
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
CONGRATULATIONS ON YOUR WORK ANNIVERSARY!,unknown,legit,0,congratulations on your work anniversary!
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
COULD YOU RESCHEDULE MY FLIGHT TICKET FOR NEXT WEEK?,unknown,legit,0,could you reschedule my flight ticket for next week?
THIS IS A MONEY TRANSFER MESSAGE: SEND MONEY. PLEASE RESPOND NOW.,unknown,Money Transfer,1,this is a money transfer message send money. please respond now.
This is a social engineering message: for your safety. please respond now.,unknown,Social Engineering,1,this is a social engineering message for your safety. please respond now.
THIS IS A URGENCY & PRESSURE MESSAGE: DON’T DELAY. PLEASE RESPOND NOW.,unknown,Urgency & Pressure,1,this is a urgency pressure message dont delay. please respond now.
This is a threats & fear message: your account is compromised. Please respond now.,unknown,Threats & Fear,1,this is a threats fear message your account is compromised. please respond now.
This is a authority impersonation message: police. Please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message police. please respond now.
This is a social engineering message: verify identity here. please respond now.,unknown,Social Engineering,1,this is a social engineering message verify identity here. please respond now.
Please share your PAN card number for loan application processing.,unknown,legit,0,please share your pan card number for loan application processing.
THIS IS A AUTHORITY IMPERSONATION MESSAGE: APPLE SUPPORT. PLEASE RESPOND NOW.,unknown,Authority Impersonation,1,this is a authority impersonation message apple support. please respond now.
Can you tell me the status of my online food order?,unknown,legit,0,can you tell me the status of my online food order?
THIS IS A INVESTMENT / LOTTERY MESSAGE: DOUBLE YOUR MONEY. PLEASE RESPOND NOW. ⚠️,unknown,Investment / Lottery,1,this is a investment lottery message double your money. please respond now.
Can you tell me the status of my online food order?,unknown,legit,0,can you tell me the status of my online food order?
Can you help meyreset my internet banking password?,unknown,legit,0,can you help meyreset my internet banking password?
This is a authority impersonation message: police. Please respond now.,unknown,Authority Impersonation,1,this is a authority impersonation message police. please respond now.
THIS IS A THREATy & FEAR MESSAGE: SUSPICIOUS LOGIN DETECTED. PLEASE RESPOND NOW.,unknown,Threats & Fear,1,this is a threaty fear message suspicious login detected. please respond now.
I NEED DETAILS ABOUTzMY INCOME TAX REFUND.,unknown,legit,0,i need details aboutzmy income tax refund.
THIS IS A SENSITIVE INFO REQUESTS MESSAGE: GOVERNMENT ID. PLEASE RESPOND NOW.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message government id. please respond now.
I need to transfer yoney to my father’s account today.,unknown,legit,0,i need to transfer yoney to my fathers account today.
This is a sensitive info requests message: Social Security number. Please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message social security number. please respond now.
I urgently need to pay my electricity bill before due date.,unknown,legit,0,i urgently need to pay my electricity bill before due date.
Could you reschedule my flight ticket for next week?,unknown,legit,0,could you reschedule my flight ticket for next week?
This is a social engineering message: don’t tell your bank. Please respond now.,unknown,Social Engineering,1,this is a social engineering message dont tell your bank. please respond now.
THIS IS A INVESTMENT / LOTTERY MESSAGE: GUARANTEED RETURNS. PLEASE RESPOND NOW.,unknown,Investment / Lottery,1,this is a investment lottery message guaranteed returns. please respond now.
Could you reschedule my flight ticket for next week?,unknown,legit,0,could you reschedule my flight ticket for next week?
CAN YOU HELP ME RESET MY INTERNET BANKING PASSWORD?,unknown,legit,0,can you help me reset my internet banking password?
This is a urgency & pressure message: your account will be blocked. Please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message your account will be blocked. please respond now.
I NEED DETAILS ABOUT MY INCOME TAX REFUND.,unknown,legit,0,i need details about my income tax refund.
Your account statement is ready for download.,unknown,legit,0,your account statement is ready for download.
THIS IS A SOCIAL ENGINEERING MESSAGE: DONxT TELL YOUR BANK. PLEASE RESPOND NOW.,unknown,Social Engineering,1,this is a social engineering message donxt tell your bank. please respond now.
I urgently need to pay my electricity bill before due date.,unknown,legit,0,i urgently need to pay my electricity bill before due date.
THIS IS A MONEY TRANSFER MESSAGE: SEND MONEY. PLEASE RESPOND NOW.,unknown,Money Transfer,1,this is a money transfer message send money. please respond now.
Congratulations on your work anniversary!,unknown,legit,0,congratulations on your work anniversary!
I urgently need to pay my electricity bill before due date.,unknown,legit,0,i urgently need to pay my electricity bill before due date.
This is a sensitive info requests message: confirm your card number. Please respond now.,unknown,Sensitive Info Requests,1,this is a sensitive info requests message confirm your card number. please respond now.
I need to transfer money to my father’s account today.,unknown,legit,0,i need to transfer money to my fathers account today.
Thiszis a urgency & pressure message: your account will be blocked. Please respond now. ⚠️,unknown,Urgency & Pressure,1,thiszis a urgency pressure message your account will be blocked. please respond now.
This is a investment / lottery message: congratulations you won. Plezse respond now.,unknown,Investment / Lottery,1,this is a investment lottery message congratulations you won. plezse respond now.
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW?",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
I need to transfer money to my father’s account today.,unknown,legit,0,i need to transfer money to my fathers account today.
This is a threats & fear message: suspicious login detected. please respond now.,unknown,Threats & Fear,1,this is a threats fear message suspicious login detected. please respond now.
I URGENTLY NEED xO PAY MY ELECTRICITY BILL BEFORE DUE DATE.,unknown,legit,0,i urgently need xo pay my electricity bill before due date.
THIS IS A URGENCY & PRESSURE MESSAGE: RIGHT NOW. PLEASE RESPOND NOW.,unknown,Urgency & Pressure,1,this is a urgency pressure message right now. please respond now.
THIS IS A INVESTMENT / LOTTERY MESSAGE: CLAIM YOUR PRIZE. PLEASE RESPOND NOW.,unknown,Investment / Lottery,1,this is a investment lottery message claim your prize. please respond now.
CAN YOU TELL ME THE STATUS OF MY ONLINE FOODxORDER?,unknown,legit,0,can you tell me the status of my online foodxorder?
THIS IS A THREATS & FEAR MESSAGE: PENALTY. PLEASE RESPOND NOW.,unknown,Threats & Fear,1,this is a threats fear message penalty. please respond now.
PLEASE SHARE YOUR PAN CARD NUMBER FOR LOAN APPLICATION PROCESSING.,unknown,legit,0,please share your pan card number for loan application processing.
CAN YOU TELL ME THE STATUS OF MY ONLINE FOOD ORDER?,unknown,legit,0,can you tell me the status of my online food order?
"HELLO, CAN I BOOK A DOCTOR’S APPOINTMENT FOR TOMORROW? ⚠️",unknown,legit,0,"hello, can i book a doctors appointment for tomorrow?"
THIS IS A SOCIAL ENGINEERING MESSAGE: FOR YOUR SAFETY. PLEASE RESPOND NOW.,unknown,Social Engineering,1,this is a social engineering message for your safety. please respond now.
This is a urgency & pressure message: do not yell anyone. please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message do not yell anyone. please respond now.
This is a urgency & pressure message: do not tell anyone. Please respond now.,unknown,Urgency & Pressure,1,this is a urgency pressure message do not tell anyone. please respond now.
THIS IS A SOCIAL ENGINEERING MESSAGE: VERIFY IDENTITY HERE. PLEASE RESPOND NOW.,unknown,Social Engineering,1,this is a social engineering message verify identity here. please respond now.
CONGRATULATIONS ON YOUR WORK ANNIVERSARY!,unknown,legit,0,congratulations on your work anniversary!
TyIS IS A URGENCY & PRESSURE MESSAGE: FINAL WARNING. PLEASE RESPOND NOW.,unknown,Urgency & Pressure,1,tyis is a urgency pressure message final warning. please respond now.
I urgently need to pay my electricity bill before dze date.,unknown,legit,0,i urgently need to pay my electricity bill before dze date.
I need details about my income tax refund.,unknown,legit,0,i need details about my income tax refund.
Congratulations on your work anniversary!,unknown,legit,0,congratulations on your work anniversary!
