text,personality,type,label,text_clean
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
"To release your lottery prize, pay $500 as processing fee.",unknown,Money Transfer,1,to release your lottery prize  pay  500 as processing fee
Send us ₹2000 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  2000 in gift cards to unlock your account
Send us €50 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  50 in gift cards to unlock your account
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
Your account is compromised! Verify now or lose access forever.,unknown,Urgency,1,your account is compromised  verify now or lose access forever
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
Please transfer the payment of €50 to this account urgently.,unknown,Money Transfer,1,please transfer the payment of  50 to this account urgently
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
Send us $500 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  500 in gift cards to unlock your account
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
Please transfer the payment of €50 to this account urgently.,unknown,Money Transfer,1,please transfer the payment of  50 to this account urgently
"To release your lottery prize, pay $100 as processing fee.",unknown,Money Transfer,1,to release your lottery prize  pay  100 as processing fee
"Hello, I need help with my internet connection, it is very slow.",unknown,legit,0,hello  i need help with my internet connection  it is very slow
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
"To release your lottery prize, pay $100 as processing fee.",unknown,Money Transfer,1,to release your lottery prize  pay  100 as processing fee
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
This is your final warning. Act immediately or your account will be blocked.,unknown,Urgency,1,this is your final warning  act immediately or your account will be blocked
This is the bank fraud department. Share your OTP to secure your account.,unknown,Authority,1,this is the bank fraud department  share your otp to secure your account
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
Send us €50 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  50 in gift cards to unlock your account
We detected suspicious login. Confirm details right now to avoid penalty.,unknown,Urgency,1,we detected suspicious login  confirm details right now to avoid penalty
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
"To release your lottery prize, pay $500 as processing fee.",unknown,Money Transfer,1,to release your lottery prize  pay  500 as processing fee
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
We detected suspicious login. Confirm details right now to avoid penalty.,unknown,Urgency,1,we detected suspicious login  confirm details right now to avoid penalty
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
Police warning: you must send €50 to settle your case immediately.,unknown,Authority,1,police warning  you must send  50 to settle your case immediately
We detected suspicious login. Confirm details right now to avoid penalty.,unknown,Urgency,1,we detected suspicious login  confirm details right now to avoid penalty
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
Send us ₹2000 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  2000 in gift cards to unlock your account
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
Your account is compromised! Verify now or lose access forever.,unknown,Urgency,1,your account is compromised  verify now or lose access forever
This is your final warning. Act immediately or your account will be blocked.,unknown,Urgency,1,this is your final warning  act immediately or your account will be blocked
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
Your account is compromised! Verify now or lose access forever.,unknown,Urgency,1,your account is compromised  verify now or lose access forever
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
Send us €50 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  50 in gift cards to unlock your account
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
This is the bank fraud department. Share your OTP to secure your account.,unknown,Authority,1,this is the bank fraud department  share your otp to secure your account
"Hello, I need help with my internet connection, it is very slow.",unknown,legit,0,hello  i need help with my internet connection  it is very slow
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
This is the bank fraud department. Share your OTP to secure your account.,unknown,Authority,1,this is the bank fraud department  share your otp to secure your account
This is the bank fraud department. Share your OTP to secure your account.,unknown,Authority,1,this is the bank fraud department  share your otp to secure your account
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
Send us €50 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  50 in gift cards to unlock your account
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
This is your final warning. Act immediately or your account will be blocked.,unknown,Urgency,1,this is your final warning  act immediately or your account will be blocked
This is the bank fraud department. Share your OTP to secure your account.,unknown,Authority,1,this is the bank fraud department  share your otp to secure your account
Please transfer the payment of $500 to this account urgently.,unknown,Money Transfer,1,please transfer the payment of  500 to this account urgently
"Hello, I need help with my internet connection, it is very slow.",unknown,legit,0,hello  i need help with my internet connection  it is very slow
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
Please transfer the payment of €50 to this account urgently.,unknown,Money Transfer,1,please transfer the payment of  50 to this account urgently
Your account is compromised! Verify now or lose access forever.,unknown,Urgency,1,your account is compromised  verify now or lose access forever
We detected suspicious login. Confirm details right now to avoid penalty.,unknown,Urgency,1,we detected suspicious login  confirm details right now to avoid penalty
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
Police warning: you must send $100 to settle your case immediately.,unknown,Authority,1,police warning  you must send  100 to settle your case immediately
What’s the return policy for the product I purchased last week?,unknown,legit,0,what s the return policy for the product i purchased last week
"To release your lottery prize, pay $500 as processing fee.",unknown,Money Transfer,1,to release your lottery prize  pay  500 as processing fee
This is your final warning. Act immediately or your account will be blocked.,unknown,Urgency,1,this is your final warning  act immediately or your account will be blocked
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
This is your final warning. Act immediately or your account will be blocked.,unknown,Urgency,1,this is your final warning  act immediately or your account will be blocked
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
This is your final warning. Act immediately or your account will be blocked.,unknown,Urgency,1,this is your final warning  act immediately or your account will be blocked
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
Your account is compromised! Verify now or lose access forever.,unknown,Urgency,1,your account is compromised  verify now or lose access forever
Send us €50 in gift cards to unlock your account.,unknown,Money Transfer,1,send us  50 in gift cards to unlock your account
This is your final warning. Act immediately or your account will be blocked.,unknown,Urgency,1,this is your final warning  act immediately or your account will be blocked
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
"Hello, I need help with my internet connection, it is very slow.",unknown,legit,0,hello  i need help with my internet connection  it is very slow
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
Please transfer the payment of $500 to this account urgently.,unknown,Money Transfer,1,please transfer the payment of  500 to this account urgently
We detected suspicious login. Confirm details right now to avoid penalty.,unknown,Urgency,1,we detected suspicious login  confirm details right now to avoid penalty
We are from the tax office. Pay the penalty now to avoid legal action.,unknown,Authority,1,we are from the tax office  pay the penalty now to avoid legal action
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
Can you tell me the status of my food delivery order?,unknown,legit,0,can you tell me the status of my food delivery order
This is the bank fraud department. Share your OTP to secure your account.,unknown,Authority,1,this is the bank fraud department  share your otp to secure your account
Police warning: you must send $100 to settle your case immediately.,unknown,Authority,1,police warning  you must send  100 to settle your case immediately
We detected suspicious login. Confirm details right now to avoid penalty.,unknown,Urgency,1,we detected suspicious login  confirm details right now to avoid penalty
Could you help me reschedule my flight to next Monday?,unknown,legit,0,could you help me reschedule my flight to next monday
Can you please share the recipe for that dish you made yesterday?,unknown,legit,0,can you please share the recipe for that dish you made yesterday
"Hi, I’d like to book a doctor’s appointment for tomorrow.",unknown,legit,0,hi  i d like to book a doctor s appointment for tomorrow
