category,base_keyword,variation,example_usage
urgency,urgent,crucial,crucial update needed to maintain access now
urgency,urgent,critical,critical security alert: click the link immediately!
urgency,urgent,instant,instant access granted after payment confirmed
urgency,urgent,fast,fast cash for your outstanding debt!
urgency,urgent,serious,serious issue: your account has suspicious activity
urgency,urgent,direct,direct deposit needed. send your funds immediately
urgency,urgent,swift,swift assistance offered. provide your bank details!
urgency,urgent,immediate,"immediate action required, or your account is frozen"
urgency,urgent,limited-time,"limited-time opportunity; claim now, don't miss out!"
urgency,urgent,vital,vital information missing; confirm your identity fast
urgency,urgent,prompt,prompt response needed to verify your details quickly
urgency,urgent,now,now is the time to receive your winnings!
urgency,urgent,final,"final notice! unpaid bill, pay immediately, or else"
urgency,urgent,quick,quick survey: win a big prize today!
urgency,urgent,expedited,expedited processing fee needed to claim prize now!
urgency,urgent,essential,essential: update your information immediately
urgency,urgent,pressing,pressing matter: your account needs updating urgently
urgency,urgent,rapid,rapid results guaranteed with our help
urgency,urgent,"here are 20 scam-related variations of ""urgent,"" with example usage",
urgency,urgent,time-sensitive,time-sensitive offer: you must act right now!
urgency,urgent,immediate attention,immediate attention needed or you miss out
urgency,immediately,"directly, fast","wire the money directly, fast, to assist"
urgency,immediately,at this moment,respond at this moment to rectify charges
urgency,immediately,without reprieve,pay without reprieve to avoid consequences
urgency,immediately,at once,send funds at once to clear your pending debt
urgency,immediately,this instant,"you have won, claim it this instant!"
urgency,immediately,without hesitation,"send money without hesitation, your help is needed"
urgency,immediately,right away,send your details right away to win
urgency,immediately,stat,respond stat to secure your inheritance!
urgency,immediately,directly,contact us directly to unlock your funds
urgency,immediately,"here are 20 scam-related variations of ""immediately"" with example usage",
urgency,immediately,forthwith,"your prize will be dispatched forthwith, just pay"
urgency,immediately,"immediately, now","act immediately, now to secure your refund"
urgency,immediately,without delay,"verify your identity without delay, or else"
urgency,immediately,instantly,"claim your prize instantly, act now!"
urgency,immediately,right now,your account will be locked right now if you don't comply
urgency,immediately,posthaste,transfer money posthaste for your immediate assistance
urgency,immediately,expeditiously,resolve this issue expeditiously to avoid penalties
urgency,immediately,"instantly, please","send payment instantly, please!"
urgency,immediately,promptly,respond promptly to avoid cancellation of order
urgency,immediately,without further ado,claim your winnings without further ado to redeem
urgency,immediately,in haste,"act in haste, your account is compromised"
urgency,act now,"**hurry, before it's gone!**",your dream home is almost sold out!
urgency,act now,**immediate attention needed!**,your package requires immediate payment of taxes
urgency,act now,**last chance!**,get rich quick with this once-in-a-lifetime opportunity
urgency,act now,**don't hesitate!**,double your money within the next hour
urgency,act now,**seize the moment!**,click here to unlock your amazing benefits today!
urgency,act now,**don't be a victim!**,"protect your finances, pay us right away!"
urgency,act now,**final opportunity!**,don't miss your chance to win big money!
urgency,act now,**take action promptly!**,"you've won! claim it, or it's gone!"
urgency,act now,**time is of the essence!**,this secret deal is almost gone forever
urgency,act now,**urgent response needed!**,claim your free gift before stock runs out!
urgency,act now,**limited time only!**,secure your guaranteed winnings immediately!
urgency,act now,**time is running out!**,"claim your prize before midnight, or it's gone!"
urgency,act now,"okay, here are 20 scam-related variations of ""act now"", along with scam-style example usages",
urgency,act now,**act quickly!**,your account access is at risk: confirm now
urgency,act now,**final call!**,"your investment opportunity ends shortly, act now!"
urgency,act now,**opportunity knocks!**,"claim your inheritance, send details now!"
urgency,act now,**don't delay!**,your exclusive offer expires in the next hour
urgency,act now,**don't miss out!**,buy now for a limited-time discount
urgency,act now,**immediate action required!**,your account has been compromised; verify now!
urgency,act now,**prompt response requested!**,verify your banking details immediately to continue
urgency,act now,**expiring soon!**,buy your ticket and go now!
urgency,final warning,final reminder,pay your outstanding tax dues immediately
urgency,final warning,deadline notice,"your funds are at risk, act within 24 hours!"
urgency,final warning,"here are 20 scam-related variations of ""final warning"" with example usages",
urgency,final warning,last notice,claim your unclaimed funds before it's gone forever!
urgency,final warning,immediate suspension notice,your services will be deactivated shortly
urgency,final warning,critical update,verify your personal details to avoid suspension
urgency,final warning,last chance email,get your free gift and redeem immediately!
urgency,final warning,deficiency alert,update information to restore your services quickly
urgency,final warning,final attempt,"update your payment details urgently, or else"
urgency,final warning,last call,renew your subscription or forfeit your benefits
urgency,final warning,urgent alert,"your account is immediately at risk, respond now!"
urgency,final warning,last opportunity,click here to claim your unclaimed bitcoin
urgency,final warning,time-sensitive notification,click here to avoid penalties or fees!
urgency,final warning,official termination notice,failure to comply results in termination
urgency,final warning,important announcement,claim your prize before it expires!
urgency,final warning,delinquency notification,"pay your debt, avoiding serious repercussions"
urgency,final warning,expiring offer,"buy now, or this exclusive deal ends today!"
urgency,final warning,final demand,settle your overdue invoice immediately
urgency,final warning,action required,verify your login credentials or lose access
urgency,final warning,disconnection notice,your service will be cut if you don't pay
urgency,final warning,closure notice,your account will be closed unless you act
urgency,limited time,rare opportunity,"""rare opportunity! don't miss this limited giveaway!"""
urgency,limited time,exclusive deadline,"""exclusive deadline! don't miss this offer."""
urgency,limited time,rapid response required,"""rapid response required! claim your free gift!"""
urgency,limited time,closing soon,"""closing soon! grab your bonus now!"""
urgency,limited time,restricted time,"""restricted time! the price will never be this low!"""
urgency,limited time,one-day only,"""one-day only! huge savings available!"""
urgency,limited time,flash sale,"""flash sale! prices slashed for 30 minutes!"""
urgency,limited time,expiring soon,"""expiring soon! act before the offer disappears."""
