Message,ScamLabel
Provide your password You need to cryptocurrency wallet to claim your prize.,1
Cryptocurrency wallet! double your money to avoid losing access to your account.,1
Your order #next week has shipped and will arrive by Monday.,0
Join our Monday event this weekend!,0
Double your money from lottery: Act immediately.,1
Tech support from microsoft You need to act fast to claim your prize.,1
Please confirm your subscription to next week.,0
Risk-free investment! suspicious login detected to avoid losing access to your account.,1
Please confirm your subscription to service.,0
Alert: Keep this secret. Please verify identity here to resolve this issue.,1
Please confirm your subscription to Friday.,0
Social security number You need to tech support from Microsoft to claim your prize.,1
Confirm your card number You need to your computer is hacked to claim your prize.,1
Transfer money: final warning now to secure your funds. Thanks for your purchase! Your receipt is attached for Monday.,1
Western union from transfer money: Act immediately.,1
Send payment You need to confirm your card number to claim your prize.,1
Please confirm your subscription to newsletter.,0
Your order #newsletter has shipped and will arrive by Monday.,0
Confirm your card number! suspicious login detected to avoid losing access to your account.,1
Reminder: Your appointment is scheduled for Monday.,0
Double your money from cryptocurrency wallet: Act immediately.,1
Final warning You need to bank account details to claim your prize.,1
Social security number: suspicious login detected now to secure your funds.,1
Join our Friday event this weekend!,0
Your account is compromised! limited time to avoid losing access to your account.,1
Transfer money! suspicious login detected to avoid losing access to your account.,1
Thanks for your purchase! Your receipt is attached for newsletter.,0
Join our service event this weekend!,0
Western union! keep this secret to avoid losing access to your account.,1
Suspicious login detected: risk-free investment now to secure your funds.,1
Your order #service has shipped and will arrive by Monday.,0
Tax department from limited time: Act immediately. Join our Monday event this weekend!,1
Please confirm your subscription to Monday.,0
Claim your prize You need to bank security team to claim your prize.,1
Bank account details from immediately: Act immediately.,1
Congratulations you won from tech support from Microsoft: Act immediately.,1
Social security number from Western Union: Act immediately.,1
Thanks for your purchase! Your receipt is attached for Friday.,0
Alert: Keep this secret. Please bank security team to resolve this issue.,1
Reminder: Your appointment is scheduled for newsletter.,0
Please confirm your subscription to next week. limited time,0
Alert: Bank account details. Please urgent to resolve this issue.,1
Lottery: claim your prize now to secure your funds. Your order #service has shipped and will arrive by Monday.,1
Your order #Friday has shipped and will arrive by Monday.,0
Alert: Send payment. Please Western Union to resolve this issue.,1
Thanks for your purchase! Your receipt is attached for next week.,0
Suspicious login detected: limited time now to secure your funds.,1
Final warning You need to cryptocurrency wallet to claim your prize.,1
Limited time! final warning to avoid losing access to your account.,1
Congratulations you won You need to immediately to claim your prize.,1
Thanks for your purchase! Your receipt is attached for service. your account is compromised,0
Alert: Risk-free investment. Please confirm your card number to resolve this issue. Join our Monday event this weekend!,1
Reminder: Your appointment is scheduled for Friday.,0
Urgent from your account will be blocked: Act immediately.,1
Guaranteed returns! limited time to avoid losing access to your account.,1
Join our next week event this weekend!,0
Guaranteed returns from congratulations you won: Act immediately.,1
Send payment: immediately now to secure your funds.,1
Join our newsletter event this weekend!,0
Lottery You need to send payment to claim your prize.,1
Double your money from congratulations you won: Act immediately.,1
Social security number from send payment: Act immediately.,1
Thanks for your purchase! Your receipt is attached for Monday.,0
Transfer money from tech support from Microsoft: Act immediately.,1
Wire funds from urgent: Act immediately.,1
Reminder: Your appointment is scheduled for service. act fast,0
Limited time! suspicious login detected to avoid losing access to your account.,1
Reminder: Your appointment is scheduled for service.,0
Double your money from bank security team: Act immediately.,1
Social security number! bank account details to avoid losing access to your account.,1
Share your otp: your computer is hacked now to secure your funds.,1
Reminder: Your appointment is scheduled for next week.,0
Your computer is hacked from Western Union: Act immediately.,1
Wire funds from cryptocurrency wallet: Act immediately.,1
Alert: Western union. Please suspicious login detected to resolve this issue.,1
Tech support from microsoft from bank account details: Act immediately.,1
Bank security team You need to guaranteed returns to claim your prize.,1
Lottery You need to provide your password to claim your prize.,1
Act fast! Western Union to avoid losing access to your account.,1
Act fast You need to send payment to claim your prize.,1
Alert: Bank account details. Please your account will be blocked to resolve this issue.,1
Alert: Social security number. Please act fast to resolve this issue.,1
Transfer money! limited time to avoid losing access to your account. Reminder: Your appointment is scheduled for service.,1
Your order #Monday has shipped and will arrive by Monday.,0
Act fast from send payment: Act immediately.,1
Immediately: immediately now to secure your funds. Thanks for your purchase! Your receipt is attached for service.,1
Lottery! your account will be blocked to avoid losing access to your account.,1
Join our Monday event this weekend! keep this secret,0
Verify identity here: Social Security number now to secure your funds.,1
Suspicious login detected! act fast to avoid losing access to your account.,1
Your computer is hacked from wire funds: Act immediately.,1
Thanks for your purchase! Your receipt is attached for service.,0
Your computer is hacked! tech support from Microsoft to avoid losing access to your account.,1
Alert: Your account is compromised. Please suspicious login detected to resolve this issue.,1
Verify identity here! share your OTP to avoid losing access to your account.,1
Claim your prize: double your money now to secure your funds.,1
Social security number You need to verify identity here to claim your prize.,1
Alert: Provide your password. Please confirm your card number to resolve this issue.,1
Thanks for your purchase! Your receipt is attached for Friday. risk-free investment,0
Join our next week event this weekend! cryptocurrency wallet,0
Limited time! transfer money to avoid losing access to your account.,1
Cryptocurrency wallet! bank security team to avoid losing access to your account.,1
Alert: Risk-free investment. Please Social Security number to resolve this issue. Please confirm your subscription to service.,1
Verify identity here! Western Union to avoid losing access to your account.,1
Alert: Limited time. Please verify identity here to resolve this issue.,1
Tech support from microsoft: bank account details now to secure your funds.,1
Keep this secret: cryptocurrency wallet now to secure your funds. Join our service event this weekend!,1
Limited time You need to Social Security number to claim your prize.,1
Alert: Social security number. Please your computer is hacked to resolve this issue.,1
Alert: Verify identity here. Please your account is compromised to resolve this issue.,1
Bank account details You need to risk-free investment to claim your prize.,1
Alert: Suspicious login detected. Please guaranteed returns to resolve this issue.,1
Verify identity here from provide your password: Act immediately.,1
Your account will be blocked from transfer money: Act immediately.,1
Join our Friday event this weekend! Social Security number,0
Guaranteed returns You need to bank security team to claim your prize.,1
Confirm your card number from your account will be blocked: Act immediately.,1
Alert: Risk-free investment. Please confirm your card number to resolve this issue.,1
Wire funds: limited time now to secure your funds.,1
Gift cards You need to keep this secret to claim your prize.,1
Confirm your card number! tech support from Microsoft to avoid losing access to your account.,1
Bank account details You need to urgent to claim your prize.,1
Alert: Immediately. Please limited time to resolve this issue.,1
Alert: Gift cards. Please Western Union to resolve this issue.,1
Social security number! wire funds to avoid losing access to your account.,1
Join our next week event this weekend! wire funds,0
Tax department from immediately: Act immediately.,1
Alert: Social security number. Please Social Security number to resolve this issue.,1
Congratulations you won from provide your password: Act immediately.,1
Alert: Share your otp. Please guaranteed returns to resolve this issue.,1
Congratulations you won! share your OTP to avoid losing access to your account.,1
Double your money: double your money now to secure your funds.,1
Share your otp from your computer is hacked: Act immediately.,1
Tech support from microsoft! bank security team to avoid losing access to your account.,1
Alert: Confirm your card number. Please bank account details to resolve this issue.,1
Bank security team You need to gift cards to claim your prize.,1
Alert: Share your otp. Please immediately to resolve this issue.,1
Transfer money: verify identity here now to secure your funds.,1
Thanks for your purchase! Your receipt is attached for Monday. congratulations you won,0
Your order #Monday has shipped and will arrive by Monday. risk-free investment,0
Double your money: Western Union now to secure your funds.,1
Tax department! confirm your card number to avoid losing access to your account.,1
Alert: Gift cards. Please tax department to resolve this issue.,1
Confirm your card number from double your money: Act immediately.,1
Confirm your card number: immediately now to secure your funds.,1
Bank security team You need to your account is compromised to claim your prize.,1
Alert: Cryptocurrency wallet. Please send payment to resolve this issue. Your order #Monday has shipped and will arrive by Monday.,1
Your account will be blocked You need to risk-free investment to claim your prize. Reminder: Your appointment is scheduled for Monday.,1
Keep this secret! your account will be blocked to avoid losing access to your account.,1
Bank security team You need to transfer money to claim your prize.,1
Your order #next week has shipped and will arrive by Monday. tax department,0
Join our Friday event this weekend! congratulations you won,0
Congratulations you won! wire funds to avoid losing access to your account.,1
Alert: Act fast. Please cryptocurrency wallet to resolve this issue.,1
Transfer money! double your money to avoid losing access to your account.,1
Confirm your card number: bank account details now to secure your funds.,1
Bank security team: Western Union now to secure your funds.,1
Transfer money from your computer is hacked: Act immediately.,1
Risk-free investment: gift cards now to secure your funds.,1
Western union: share your OTP now to secure your funds. Join our Monday event this weekend!,1
Your computer is hacked: bank security team now to secure your funds.,1
Confirm your card number: bank security team now to secure your funds.,1
Claim your prize from your account is compromised: Act immediately.,1
Immediately from tech support from Microsoft: Act immediately. Your order #service has shipped and will arrive by Monday.,1
Alert: Your account will be blocked. Please Western Union to resolve this issue.,1
Cryptocurrency wallet You need to congratulations you won to claim your prize.,1
Social security number: share your OTP now to secure your funds.,1
Keep this secret: tech support from Microsoft now to secure your funds.,1
Bank security team: gift cards now to secure your funds.,1
Cryptocurrency wallet: confirm your card number now to secure your funds.,1
Claim your prize! Social Security number to avoid losing access to your account.,1
Congratulations you won You need to double your money to claim your prize.,1
Wire funds You need to Social Security number to claim your prize.,1
Confirm your card number! share your OTP to avoid losing access to your account.,1
Verify identity here! tech support from Microsoft to avoid losing access to your account.,1
Alert: Gift cards. Please immediately to resolve this issue.,1
Lottery! Western Union to avoid losing access to your account.,1
Alert: Social security number. Please lottery to resolve this issue.,1
Share your otp from transfer money: Act immediately.,1
Bank security team from risk-free investment: Act immediately.,1
Keep this secret from cryptocurrency wallet: Act immediately.,1
Thanks for your purchase! Your receipt is attached for newsletter. guaranteed returns,0
Send payment You need to your account will be blocked to claim your prize.,1
Alert: Your account will be blocked. Please suspicious login detected to resolve this issue.,1
Tech support from microsoft You need to suspicious login detected to claim your prize. Join our Monday event this weekend!,1
Double your money: your account will be blocked now to secure your funds. Reminder: Your appointment is scheduled for Monday.,1
Your order #next week has shipped and will arrive by Monday. bank security team,0
Tech support from microsoft from your computer is hacked: Act immediately. Reminder: Your appointment is scheduled for service.,1
Suspicious login detected You need to confirm your card number to claim your prize.,1
Confirm your card number! your account is compromised to avoid losing access to your account.,1
Your account will be blocked You need to bank security team to claim your prize.,1
Gift cards: your account is compromised now to secure your funds.,1
Alert: Risk-free investment. Please congratulations you won to resolve this issue.,1
Act fast: your computer is hacked now to secure your funds.,1
Cryptocurrency wallet from verify identity here: Act immediately.,1
Western union: final warning now to secure your funds.,1
Congratulations you won from urgent: Act immediately. Thanks for your purchase! Your receipt is attached for Monday.,1
Social security number You need to your computer is hacked to claim your prize.,1
Verify identity here from tech support from Microsoft: Act immediately.,1
Tech support from microsoft! your account will be blocked to avoid losing access to your account.,1
Claim your prize You need to wire funds to claim your prize.,1
Final warning You need to suspicious login detected to claim your prize.,1
Send payment You need to cryptocurrency wallet to claim your prize.,1
Urgent! urgent to avoid losing access to your account.,1
Social security number You need to confirm your card number to claim your prize.,1
Reminder: Your appointment is scheduled for Friday. confirm your card number,0
Western union You need to Social Security number to claim your prize.,1
Your account is compromised! gift cards to avoid losing access to your account.,1
Gift cards! Western Union to avoid losing access to your account. Reminder: Your appointment is scheduled for service.,1
Join our newsletter event this weekend! provide your password,0
Alert: Immediately. Please Social Security number to resolve this issue.,1
Social security number! lottery to avoid losing access to your account.,1
Alert: Confirm your card number. Please cryptocurrency wallet to resolve this issue. Please confirm your subscription to Monday.,1
Claim your prize from Western Union: Act immediately.,1
Share your otp from double your money: Act immediately.,1
Your account is compromised! transfer money to avoid losing access to your account.,1
Alert: Transfer money. Please send payment to resolve this issue.,1
Double your money You need to tax department to claim your prize.,1
Guaranteed returns! Social Security number to avoid losing access to your account.,1
Alert: Tax department. Please keep this secret to resolve this issue.,1
Wire funds from Western Union: Act immediately.,1
Tax department: confirm your card number now to secure your funds.,1
Limited time: wire funds now to secure your funds.,1
Western union! Western Union to avoid losing access to your account.,1
Wire funds from final warning: Act immediately.,1
Cryptocurrency wallet from double your money: Act immediately. Join our service event this weekend!,1
Congratulations you won You need to your account is compromised to claim your prize.,1
Provide your password: share your OTP now to secure your funds.,1
Send payment from risk-free investment: Act immediately.,1
Tax department You need to your account is compromised to claim your prize.,1
Bank security team from your computer is hacked: Act immediately.,1
Congratulations you won! send payment to avoid losing access to your account.,1
Western union from Social Security number: Act immediately.,1
Share your otp You need to your account will be blocked to claim your prize.,1
Thanks for your purchase! Your receipt is attached for service. suspicious login detected,0
Final warning from suspicious login detected: Act immediately.,1
Cryptocurrency wallet: tech support from Microsoft now to secure your funds.,1
Join our Friday event this weekend! double your money,0
Alert: Limited time. Please keep this secret to resolve this issue.,1
Claim your prize You need to Western Union to claim your prize.,1
Provide your password! provide your password to avoid losing access to your account.,1
Verify identity here You need to transfer money to claim your prize.,1
Your computer is hacked from keep this secret: Act immediately.,1
Limited time! verify identity here to avoid losing access to your account.,1
Alert: Lottery. Please guaranteed returns to resolve this issue.,1
Urgent: bank account details now to secure your funds.,1
Verify identity here! risk-free investment to avoid losing access to your account.,1
Your computer is hacked! your account is compromised to avoid losing access to your account.,1
