text_clean,label
can you please share the recipe for that dish you made yesterday,0
to release your lottery prize  pay  500 as processing fee,1
send us  2000 in gift cards to unlock your account,1
send us  50 in gift cards to unlock your account,1
your account is compromised  verify now or lose access forever,1
please transfer the payment of  50 to this account urgently,1
hi  i d like to book a doctor s appointment for tomorrow,0
send us  500 in gift cards to unlock your account,1
could you help me reschedule my flight to next monday,0
what s the return policy for the product i purchased last week,0
we are from the tax office  pay the penalty now to avoid legal action,1
can you tell me the status of my food delivery order,0
to release your lottery prize  pay  100 as processing fee,1
hello  i need help with my internet connection  it is very slow,0
this is your final warning  act immediately or your account will be blocked,1
this is the bank fraud department  share your otp to secure your account,1
we detected suspicious login  confirm details right now to avoid penalty,1
police warning  you must send  50 to settle your case immediately,1
please transfer the payment of  500 to this account urgently,1
police warning  you must send  100 to settle your case immediately,1
send us  100 in gift cards to unlock your account,1
to release your lottery prize  pay  2000 as processing fee,1
police warning  you must send  2000 to settle your case immediately,1
police warning  you must send  500 to settle your case immediately,1
please transfer the payment of  2000 to this account urgently,1
to release your lottery prize  pay  50 as processing fee,1
please transfer the payment of  100 to this account urgently,1
